RowNum,StartTime,EndTime,ViewsGained,FollowersGained,MaxViewers,AverageViewers,FollowersPerHour,ViewsPerHour,LengthMinutes,GamesPlayed
1,2017-09-21 21:15:00.000,2017-09-22 00:15:00.000,5984,36,5390,4636,2.77,460.31,195,GeoGuessr|Crossout|Pinturillo 2
2,2017-09-20 21:15:00.000,2017-09-21 00:00:00.000,4881,49,5988,5245,4.08,406.75,180,GeoGuessr|Tower Unite|Quiplash
3,2017-09-19 20:45:00.000,2017-09-19 23:15:00.000,2160,48,3319,2718,4.36,196.36,165,Life Is Strange
4,2017-09-18 22:15:00.000,2017-09-19 01:15:00.000,4793,45,5325,4911,3.46,368.69,195,Ben and Ed: Blood Party|GoldenEye: Source|London 2012 - The Official Video Game of the Olympic Games
5,2017-09-17 20:30:00.000,2017-09-17 23:30:00.000,3380,97,3527,3074,7.46,260.00,195,Fallout 3
6,2017-09-14 21:15:00.000,2017-09-15 00:15:00.000,4818,51,5363,4562,3.92,370.62,195,The Binding of Isaac: Afterbirth|GeoGuessr|The Jackbox Party Pack 3
7,2017-09-13 21:15:00.000,2017-09-14 00:15:00.000,6174,48,5601,4596,3.69,474.92,195,Tooth and Tail|Sonic &amp; All-Stars Racing Transformed|Quiplash
8,2017-09-12 20:15:00.000,2017-09-12 23:00:00.000,3881,52,2980,2557,4.33,323.42,180,"Life Is Strange|Cook, Serve, Delicious! 2!!"
9,2017-09-11 22:00:00.000,2017-09-12 01:15:00.000,3478,89,5555,4683,6.36,248.43,210,Rock of Ages II: Bigger &amp; Boulder|GoldenEye: Source|Golf It!
10,2017-09-10 20:30:00.000,2017-09-10 23:30:00.000,5416,174,3604,3304,13.38,416.62,195,Fallout 3
11,2017-09-07 21:15:00.000,2017-09-08 00:30:00.000,6323,81,5639,4498,5.79,451.64,210,GeoGuessr|Rock of Ages II: Bigger &amp; Boulder|StarCraft II
12,2017-09-06 21:15:00.000,2017-09-07 00:15:00.000,5880,110,5872,5153,8.46,452.31,195,The Binding of Isaac: Afterbirth|Golf It!|Quiplash
13,2017-09-06 00:45:00.000,2017-09-06 04:00:00.000,2102,31,3039,2731,2.21,150.14,210,PLAYERUNKNOWN'S BATTLEGROUNDS
14,2017-08-30 21:15:00.000,2017-08-31 00:15:00.000,1818,23,4977,3334,1.77,139.85,195,Tower Unite|Ball 3D
15,2017-08-29 20:15:00.000,2017-08-29 23:30:00.000,3943,55,3062,2554,3.93,281.64,210,PLAYERUNKNOWN'S BATTLEGROUNDS
16,2017-08-28 22:15:00.000,2017-08-29 01:15:00.000,5398,140,6405,5767,10.77,415.23,195,Rock of Ages II: Bigger &amp; Boulder|Golf It!|Quiplash
17,2017-08-27 20:15:00.000,2017-08-27 23:15:00.000,7595,265,4295,3857,20.38,584.23,195,Fallout 3
18,2017-08-24 21:15:00.000,2017-08-25 00:15:00.000,5400,91,5751,4715,7.00,415.38,195,Passpartout: The Starving Artist|Party Panic|Pictionary
19,2017-08-23 21:15:00.000,2017-08-24 00:15:00.000,5962,170,6185,5214,13.08,458.62,195,Super Blood Hockey|Absolver|Golf It!|The Jackbox Party Pack 3
20,2017-08-22 20:30:00.000,2017-08-22 23:45:00.000,6584,133,4089,3576,9.50,470.29,210,Absolver|Dauntless|Super Blood Hockey
21,2017-08-21 22:15:00.000,2017-08-22 01:15:00.000,5065,95,5347,4797,7.31,389.62,195,Fire Pro Wrestling World|Ultimate Chicken Horse|Ben and Ed: Blood Party
22,2017-08-20 20:15:00.000,2017-08-20 23:15:00.000,4417,325,4388,3920,25.00,339.77,195,Fallout 3
23,2017-08-17 21:15:00.000,2017-08-18 00:15:00.000,5365,108,6075,5214,8.31,412.69,195,GeoGuessr|Golf It!|The Jackbox Party Pack 3
24,2017-08-16 21:15:00.000,2017-08-17 00:30:00.000,5823,116,5250,4681,8.29,415.93,210,Nidhogg II|SpeedRunners|Pictionary: Ultimate Edition
25,2017-08-15 20:15:00.000,2017-08-15 23:15:00.000,3798,84,3343,2514,6.46,292.15,195,PLAYERUNKNOWN'S BATTLEGROUNDS
26,2017-08-14 22:15:00.000,2017-08-15 01:15:00.000,4971,156,6094,5294,12.00,382.38,195,HITMAN|Ben and Ed: Blood Party|London 2012 - The Official Video Game of the Olympic Games
27,2017-08-13 20:30:00.000,2017-08-13 23:45:00.000,4866,429,5714,4821,30.64,347.57,210,Fallout 3
28,2017-08-11 20:15:00.000,2017-08-11 23:15:00.000,3784,73,3351,2706,5.62,291.08,195,PLAYERUNKNOWN'S BATTLEGROUNDS
29,2017-08-10 21:15:00.000,2017-08-11 00:15:00.000,5089,99,5301,4374,7.62,391.46,195,Ultimate Chicken Horse|Tower Unite|GoldenEye: Source|Who Wants To Be A Millionaire
30,2017-08-07 22:15:00.000,2017-08-08 01:15:00.000,6552,189,6025,5453,14.54,504.00,195,Passpartout: The Starving Artist|Witch It|The Jackbox Party Pack 3
31,2017-08-06 20:15:00.000,2017-08-06 23:00:00.000,6734,294,5214,4167,24.50,561.17,180,Until Dawn|Mario Kart 8
32,2017-08-03 21:15:00.000,2017-08-04 00:15:00.000,5771,177,5350,4518,13.62,443.92,195,The Binding of Isaac: Afterbirth|Golf With Your Friends|The Jackbox Party Pack 3
33,2017-08-02 21:15:00.000,2017-08-03 00:15:00.000,5580,174,5444,4851,13.38,429.23,195,Tricky Towers|Sonic &amp; All-Stars Racing Transformed|London 2012 - The Official Video Game of the Olympic Games
34,2017-08-01 20:15:00.000,2017-08-01 23:45:00.000,4700,111,3786,2974,7.40,313.33,225,PLAYERUNKNOWN'S BATTLEGROUNDS
35,2017-07-31 22:15:00.000,2017-08-01 01:30:00.000,6802,157,6521,5714,11.21,485.86,210,Ben and Ed: Blood Party|Ball 3D|Quiplash
36,2017-07-30 20:15:00.000,2017-07-30 23:00:00.000,4462,193,5577,4787,16.08,371.83,180,Until Dawn
37,2017-07-27 21:15:00.000,2017-07-28 00:00:00.000,6059,200,5195,4586,16.67,504.92,180,Fortnite|Golf It!|Gang Beasts
38,2017-07-26 22:00:00.000,2017-07-27 01:15:00.000,5140,126,5815,5361,9.00,367.14,210,Cannon Brawl|GoldenEye: Source|Ball 3D
39,2017-07-25 22:30:00.000,2017-07-26 01:00:00.000,2445,99,3299,2920,9.00,222.27,165,PLAYERUNKNOWN'S BATTLEGROUNDS
40,2017-07-24 22:15:00.000,2017-07-25 01:15:00.000,5543,172,6383,5494,13.23,426.38,195,HITMAN|Ben and Ed: Blood Party|Tower Unite
41,2017-07-23 20:45:00.000,2017-07-23 23:30:00.000,4386,230,5588,4943,19.17,365.50,180,Until Dawn
42,2017-07-22 02:15:00.000,2017-07-22 04:45:00.000,4613,82,1794,1548,7.45,419.36,165,Gigantic
43,2017-07-20 21:15:00.000,2017-07-21 00:00:00.000,5316,162,5632,5142,13.50,443.00,180,Ben and Ed: Blood Party|Golf With Your Friends
44,2017-07-19 21:15:00.000,2017-07-20 00:30:00.000,6535,129,6053,5326,9.21,466.79,210,Ben and Ed: Blood Party|London 2012 - The Official Video Game of the Olympic Games|The Jackbox Party Pack 3
