Team,League,Division,Wins,Losses
Chicago Cubs,National,Central,103,58
Texas Rangers,American,West,95,67
Washington Nationals,National,East,95,67
Cleveland Indians,American,Central,94,67
Boston Red Sox,American,East,93,69
Los Angeles Dodgers,National,West,91,71
Baltimore Orioles,American,East,89,73
Toronto Blue Jays,American,East,89,73
New York Mets,National,East,87,75
San Francisco Giants,National,West,87,75
Detroit Tigers,American,Central,86,75
St. Louis Cardinals,National,Central,86,76
Seattle Mariners,American,West,86,76
New York Yankees,American,East,84,78
Houston Astros,American,West,84,78
Kansas City Royals,American,Central,81,81
Miami Marlins,National,East,79,82
Pittsburgh Pirates,National,Central,78,83
Chicago White Sox,American,Central,78,84
Colorado Rockies,National,West,75,87
Los Angeles Angels,American,West,74,88
Milwaukee Brewers,National,Central,73,89
Philadelphia Phillies,National,East,71,91
Arizona Diamondbacks,National,West,69,93
Oakland Athletics,American,West,69,93
Atlanta Braves,National,East,68,93
Tampa Bay Rays,American,East,68,94
San Diego Padres,National,West,68,94
Cincinnati Reds,National,Central,68,94
Minnesota Twins,American,Central,59,103
