Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank
2011,FEMALE,HISPANIC,ISABELLA,331,1
2011,FEMALE,WHITE NON HISPANIC,ESTHER,224,1
2011,MALE,ASIAN AND PACIFIC ISLANDER,ETHAN,177,1
2011,MALE,BLACK NON HISPANIC,JAYDEN,184,1
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SOPHIA,119,1
2011,FEMALE,BLACK NON HISPANIC,MADISON,176,1
2011,MALE,HISPANIC,JAYDEN,426,1
2011,MALE,WHITE NON HISPANIC,MICHAEL,292,1
2011,MALE,ASIAN AND PACIFIC ISLANDER,ETHAN,177,1
2011,MALE,BLACK NON HISPANIC,JAYDEN,184,1
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SOPHIA,119,1
2011,FEMALE,BLACK NON HISPANIC,MADISON,176,1
2011,FEMALE,HISPANIC,ISABELLA,331,1
2011,FEMALE,WHITE NON HISPANIC,ESTHER,224,1
2011,MALE,HISPANIC,JAYDEN,426,1
2011,MALE,WHITE NON HISPANIC,MICHAEL,292,1
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SOPHIA,119,1
2011,FEMALE,BLACK NON HISPANIC,MADISON,176,1
2011,FEMALE,HISPANIC,ISABELLA,331,1
2011,FEMALE,WHITE NON HISPANIC,ESTHER,224,1
2011,MALE,ASIAN AND PACIFIC ISLANDER,ETHAN,177,1
2011,MALE,BLACK NON HISPANIC,JAYDEN,184,1
2011,MALE,HISPANIC,JAYDEN,426,1
2011,MALE,WHITE NON HISPANIC,MICHAEL,292,1
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SOPHIA,119,1
2011,FEMALE,BLACK NON HISPANIC,MADISON,176,1
2011,FEMALE,HISPANIC,ISABELLA,331,1
2011,FEMALE,WHITE NON HISPANIC,ESTHER,224,1
2011,MALE,ASIAN AND PACIFIC ISLANDER,ETHAN,177,1
2011,MALE,BLACK NON HISPANIC,JAYDEN,184,1
2011,MALE,HISPANIC,JAYDEN,426,1
2011,MALE,WHITE NON HISPANIC,MICHAEL,292,1
2012,FEMALE,ASIAN AND PACI,CHLOE,172,1
2012,FEMALE,BLACK NON HISP,MADISON,159,1
2012,FEMALE,HISPANIC,ISABELLA,327,1
2012,FEMALE,WHITE NON HISP,EMMA,228,1
2012,MALE,ASIAN AND PACI,RYAN,197,1
2012,MALE,BLACK NON HISP,JAYDEN,171,1
2012,MALE,HISPANIC,JAYDEN,364,1
2012,MALE,WHITE NON HISP,JOSEPH,300,1
2013,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,124,1
2013,FEMALE,BLACK NON HISPANIC,Madison,134,1
2013,FEMALE,HISPANIC,Isabella,326,1
2013,FEMALE,WHITE NON HISPANIC,Olivia,233,1
2013,MALE,ASIAN AND PACIFIC ISLANDER,Jayden,220,1
2013,MALE,BLACK NON HISPANIC,Ethan,146,1
2013,MALE,HISPANIC,Jayden,352,1
2013,MALE,WHITE NON HISPANIC,David,304,1
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,141,1
2014,FEMALE,BLACK NON HISPANIC,Madison,130,1
2014,FEMALE,HISPANIC,Isabella,331,1
2014,FEMALE,WHITE NON HISPANIC,Olivia,248,1
2014,MALE,ASIAN AND PACIFIC ISLANDER,Jayden,187,1
2014,MALE,BLACK NON HISPANIC,Ethan,138,1
