DB ID,L1,Listening,MTELP,Writing
71,chinese,10,56,
118,chinese,23,61,
270,chinese,12,35,1.5
298,chinese,16,57,4
299,chinese,10,42,3.3
447,chinese,21,55,3.2
201,chinese,22,66,
278,chinese,25,69,
396,chinese,23,77,3.8
441,chinese,21,62,3.5
453,chinese,23,63,2.8
491,chinese,23,71,3.3
492,chinese,17,58,3.8
634,chinese,21,59,3.5
813,chinese,27,65,3.5
967,chinese,26,67,4.3
971,chinese,26,60,3.6
975,chinese,12,62,4.3
998,chinese,21,63,3.3
1187,chinese,24,60,3.5
1199,chinese,22,64,3.8
306,korean,18,46,2.60 
307,korean,27,48,3.00 
371,korean,24,72,3.00 
379,korean,20,64,3.80 
380,korean,20,70,4.60 
433,korean,19,46,3.80 
444,korean,16,70,2.50 
445,korean,28,77,3.00 
488,korean,22,68,3.50 
579,korean,12,44,2.00 
582,korean,17,58,2.30 
818,korean,21,51,2.00 
834,korean,21,62,2.60 
901,korean,23,66,4.00 
968,korean,,,
969,korean,17,44,1.50 
1017,korean,12,66,3.80 
1079,korean,19,64,4.00 
1109,korean,27,72,3.50 
1192,korean,28,64,3.50 
159,arabic,15,48,3
163,arabic,11,60,2
172,arabic,13,47,2.3
310,arabic,18,48,3
352,arabic,15,45,2.5
407,arabic,13,48,2.2
716,arabic,19,48,3.4
756,arabic,20,46,3
825,arabic,21,47,2.8
893,arabic,18,45,3.3
949,arabic,11,44,2
953,arabic,20,46,3.3
1151,arabic,21,53,3
1051,arabic,16,56,2
1060,arabic,14,41,3.7
1062,arabic,16,55,2
1068,arabic,21,48,4.7
1077,arabic,16,46,4.2
1152,arabic,19,45,2.5
1158,arabic,11,59,3
1166,arabic,21,45,4.2
279,arabic,17,60,4
338,arabic,23,70,3.5
638,arabic,19,65,3
838,arabic,19,45,3.3
839,arabic,21,55,3.7
906,arabic,18,45,3.7
1005,arabic,19,60,3.5
1019,arabic,21,67,4.1
1168,arabic,23,70,3.3
